seed,noV,nodeCnt,supplynodes,demandnodes,totalSupply,avgFC,DSSPiterations,DSSPTime,DSSPpsi,DSSPgbestObj,FixScaniterations,FixScantime,FixScanpsi,FixScangbestObj,PSOiterations,PSOtime,PSOpsi,PSOgBestObj,PSODSSPGap,PSObeatDSSP,PSOFSGap,PSObeatFS
28,362,50,15,14,18980,3918.778996,82,0.180792525,1,1280806.412,378,0.828813794,0.25,1250278.483,5831,12.89238472,0.623823767,1274097.943,0.53%,1,-1.87%,0
29,1388,50,10,11,13229,4010.725014,256,2.0032305,1,738855.4183,1295,9.916401499,1.25,669734.8635,32675,239.2376821,0.180075752,634337.9106,16.48%,1,5.58%,1
30,1366,50,22,13,16540,4013.292357,470,3.300675155,1,1136632.249,1772,12.65709326,1,1136632.249,21072,150.8554615,0.853991788,1011150.987,12.41%,1,12.41%,1
31,126,50,20,8,10899,3801.210307,11,0.010454217,1,1888938.399,58,0.053123332,0.75,1886098.15,557,0.544857617,0.009217538,1873975.755,0.80%,1,0.65%,1
32,280,50,14,11,15688,4088.854793,41,0.072389717,1,1282545.947,181,0.322215113,0.75,1268128.679,2900,5.195502562,1.936518426,1265951.768,1.31%,1,0.17%,1
33,1440,50,13,8,10838,3946.646021,289,2.32479356,1,817703.8333,1202,9.406312015,0.5,633501.0848,43004,331.2708428,1.484961299,622455.3706,31.37%,1,1.77%,1
34,1342,50,22,8,11940,3980.186156,409,2.821512735,1,1005871.32,1341,9.562370838,0.25,989966.8686,17400,121.1297287,1.246155296,940754.0118,6.92%,1,5.23%,1
35,1388,50,15,14,19826,4150.846463,235,1.820847532,1,1016088.404,1766,13.0582519,0.25,956930.0128,39365,290.7412475,1.812712782,913031.6318,11.29%,1,4.81%,1
36,870,50,19,6,9397,3708.25132,212,1.001616105,1,963737.3435,848,4.001301887,1.25,860877.6297,28793,134.9509064,0.212558464,779653.7754,23.61%,1,10.42%,1
37,1702,50,13,7,11308,3981.685163,276,2.603886808,1,675871.4656,1555,14.70770235,0.25,658075.6718,25374,228.4376886,1.562923254,633746.8982,6.65%,1,3.84%,1
38,1602,50,10,12,15611,4047.154594,371,3.238708861,1,831131.6062,1464,13.11037472,0.25,749649.8975,42713,355.1841702,0.224951483,733717.7578,13.28%,1,2.17%,1
39,590,50,17,12,18353,3916.060185,133,0.441785278,1,1240065.833,585,1.955180975,0.25,1212957.488,13179,43.59074754,0.837944315,1110345.831,11.68%,1,9.24%,1
40,1176,50,16,8,10638,4164.98667,198,1.2838335,1,896594.1809,1071,6.69039831,0.25,823659.4732,37984,237.1629398,0.440375966,725045.6338,23.66%,1,13.60%,1
41,994,50,11,6,7889,3957.704041,147,0.804418742,1,672341.3972,575,3.19122147,0.5,636312.9682,8698,47.60570507,1.417989304,616711.6061,9.02%,1,3.18%,1
42,1602,50,13,11,17007,4002.900796,338,2.969075019,1,912573.2797,1790,15.59797429,0.5,817638.9534,22745,193.6236952,1.202676543,780607.9563,16.91%,1,4.74%,1
43,188,50,17,10,14346,3960.904183,24,0.033070854,1,1573947.824,102,0.142207951,0.75,1562437.173,1484,1.92715978,1.6666544,1503182.567,4.71%,1,3.94%,1
44,1058,50,11,11,15495,3967.018659,276,1.559263138,1,846357.2637,1061,6.147386417,1,846357.2637,26759,152.9176274,1.865913194,787386.7304,7.49%,1,7.49%,1
45,736,50,15,10,15559,4211.479203,148,0.628582883,1,936825.755,866,3.640612383,0.25,910392.3643,17878,71.91520779,1.083096443,887457.354,5.56%,1,2.58%,1
46,2188,50,14,14,20824,4007.894842,344,4.379939308,1,986226.222,1793,22.5520082,0.75,886909.9237,64136,754.0303159,0.718547209,872755.2529,13.00%,1,1.62%,1
47,926,50,18,9,14526,4015.529115,90,0.464605781,1,997265.0365,1034,5.10285594,1.25,938251.3183,19962,98.65315977,0.507728317,964748.3105,3.37%,1,-2.75%,0
48,1388,50,13,13,18392,3841.934319,415,3.022276479,1,985620.2258,1380,10.27606711,0.5,943278.8499,26721,196.8395553,0.468477068,910071.356,8.30%,1,3.65%,1
49,254,50,18,12,17155,4016.3557,30,0.049341682,1,1346577.01,217,0.344907471,1.25,1332258.474,3063,4.897146354,1.267163164,1301716.529,3.45%,1,2.35%,1
50,1268,50,19,14,20271,3951.199979,262,1.816775049,1,1134073.111,1651,10.9916763,1.25,1065128.151,22717,151.3009934,0.998270693,968916.6071,17.05%,1,9.93%,1
51,670,50,21,9,13910,4130.640155,153,0.54710357,1,1129776.725,661,2.402080454,0.25,1058323.792,13543,48.87961098,0.780289959,986540.2964,14.52%,1,7.28%,1
52,2400,50,17,16,27135,3959.903449,789,10.55623765,1,1154229.939,3491,45.34519773,0.5,1077108.995,124812,1607.070208,0.361436006,1011366.554,14.13%,1,6.50%,1
53,1550,50,17,12,16514,3995.12729,263,2.290696245,1,1030032.336,1762,14.37315979,0.75,948973.2237,71248,581.842511,1.786770261,901218.314,14.29%,1,5.30%,1
54,2248,50,21,11,18681,4021.110911,390,5.218574263,1,1018680.373,2216,27.24208375,0.75,975622.0356,74805,918.7894746,0.279404348,965246.1181,5.54%,1,1.07%,1
55,310,50,17,9,11603,3813.756653,54,0.102807171,1,1247096.853,331,0.611595921,0.25,1121499.408,3821,7.124983855,1.671848172,1199348.791,3.98%,1,-6.49%,0
56,2370,50,15,8,12126,3901.864571,413,5.704074792,1,826077.0621,2420,31.23412787,1.25,695123.0408,33101,423.4529047,0.40105913,674847.5061,22.41%,1,3.00%,1
57,198,50,16,12,24337,3933.900732,34,0.045443127,1,1513186.262,121,0.163137087,0.25,1503181.261,1455,1.992119918,1.520877385,1411735.195,7.19%,1,6.48%,1
58,1464,50,15,9,14121,3942.172583,293,2.427395439,1,867427.1621,1501,11.53443871,0.25,763670.6598,26160,199.1677023,0.177642793,720029.0915,20.47%,1,6.06%,1
59,624,50,14,7,10293,4167.937568,85,0.310662617,1,934444.9824,540,1.867140775,0.5,824773.1246,8655,30.16380888,1.098031583,793125.5339,17.82%,1,3.99%,1
60,822,50,16,6,8867,3896.839719,143,0.64319227,1,781358.9555,661,2.961162928,1,781358.9555,12578,56.19294668,1.174998884,725132.6121,7.75%,1,7.75%,1
1,1500,100,20,18,25244,4076.155581,273,2.319842883,1,1587845.655,1321,11.30261153,0.5,1530564.602,18759,166.9200946,0.304750017,1430593.139,10.99%,1,6.99%,1
2,9474,100,32,19,31028,4006.753286,1688,98.58149856,1,1838020.633,6918,421.1621594,0.5,1637492.161,43807,2727.914671,0.189537298,1464337.027,25.52%,1,11.82%,1
3,2506,100,34,25,38161,3944.990926,420,5.990361819,1,2179972.269,1910,28.3699986,0.25,2087707.309,28033,430.0276064,0.538551582,2064481.638,5.59%,1,1.13%,1
4,2488,100,28,12,17746,4040.118351,357,5.130104753,1,1540616.658,1935,27.89921465,0.75,1447639.848,18069,276.7202464,0.240908067,1435013.936,7.36%,1,0.88%,1
5,6242,100,33,22,31101,3964.533243,1499,59.5782501,1,1855612.1,6391,260.0247025,0.75,1838096.161,48251,2047.4904,0.161482538,1744529.209,6.37%,1,5.36%,1
6,7896,100,28,24,34266,4031.455387,949,48.81111298,1,1695561.14,5678,293.2765712,0.75,1593455.809,76504,3995.259468,1.10531336,1644213.399,3.12%,1,-3.09%,0
7,3340,100,30,25,35346,3991.984664,804,15.74794145,1,2051560.028,3490,71.06782188,1,2051560.028,40580,859.0550659,0.304096,1868042.305,9.82%,1,9.82%,1
8,2396,100,36,16,23561,4014.918185,660,8.837265771,1,2016729.306,2428,33.46329254,0.25,1867318.923,16274,243.7919167,1.521791151,1814496.303,11.15%,1,2.91%,1
9,4690,100,35,20,27617,4046.897472,1157,32.06195375,1,1852757.297,5102,146.2016263,1.25,1701980.238,84668,2508.821991,0.205420923,1614981.035,14.72%,1,5.39%,1
10,5742,100,31,16,23513,4034.336135,1172,42.48026586,1,1550122.129,4185,157.1389903,0.25,1509491.07,64818,2471.51086,0.271384303,1440177.095,7.63%,1,4.81%,1
11,4586,100,32,20,29236,4005.013362,660,18.70563188,1,1667916.011,3270,94.25309704,1,1667916.011,73920,2148.810049,0.484757218,1594596.701,4.60%,1,4.60%,1
12,4802,100,38,16,23644,4013.227967,787,23.31923356,1,1845720.213,3858,118.1023861,0.5,1651777.772,33890,1039.382074,1.104075267,1640613.456,12.50%,1,0.68%,1
13,2710,100,29,20,30763,3970.388971,396,6.56559412,1,1925275.576,2382,38.77941706,0.25,1803542,18805,315.0374635,0.117024984,1753145.952,9.82%,1,2.87%,1
14,1234,100,33,32,47865,4083.793274,153,1.170798789,1,2802140.338,1122,8.137212821,0.25,2758255.404,15616,113.0557434,0.134884814,2606815.22,7.49%,1,5.81%,1
15,9564,100,22,19,25942,3998.560469,1435,88.21423148,1,1379019.202,7963,497.3866722,0.25,1300811.499,59417,3785.17487,0.420233481,1234175.078,11.74%,1,5.40%,1
16,3706,100,35,19,29463,3938.460136,989,21.18947895,1,1995246.063,3993,86.60794032,0.5,1873290.23,31867,740.1710069,0.101402913,1803108.054,10.66%,1,3.89%,1
17,5262,100,31,22,32461,4002.647636,601,19.96118524,1,1772424.023,4253,138.6880064,0.25,1698537.003,62655,2117.225745,1.229265059,1569618.945,12.92%,1,8.21%,1
